Format Version,1.23,Take Name,IR_018,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-11-26 11.52.01.406 下午,Total Frames in Take,8372,Total Exported Frames,8372,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 002,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003
,ID,"980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","980E5DCFAC0111EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83","47E381E0AC0B11EF1656CE49CF709B83"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
62,0.516667,-0.009697,0.965048,-0.002577,-0.261880,-2.434824,1.111361,-0.036342,0.000128,-0.016288,-0.000041,-0.999867,-0.091790,1.177504,-2.274122
63,0.525000,-0.009593,0.965039,-0.002542,-0.261918,-2.434886,1.111355,-0.036343,0.000211,-0.016286,-0.000052,-0.999867,-0.091792,1.177507,-2.274118
64,0.533333,-0.009669,0.965040,-0.002501,-0.261911,-2.434859,1.111375,-0.036365,0.000107,-0.016331,-0.000033,-0.999867,-0.091827,1.177504,-2.274156
65,0.541667,-0.009808,0.965035,-0.002565,-0.261926,-2.434784,1.111372,-0.036351,0.000178,-0.016345,-0.000034,-0.999866,-0.091802,1.177497,-2.274168
66,0.550000,-0.009683,0.965054,-0.002529,-0.261859,-2.434829,1.111366,-0.036350,0.000160,-0.016293,-0.000042,-0.999867,-0.091787,1.177496,-2.274123
67,0.558333,-0.009741,0.965047,-0.002592,-0.261885,-2.434800,1.111368,-0.036342,0.000213,-0.016364,-0.000023,-0.999866,-0.091778,1.177495,-2.274172
68,0.566667,-0.009614,0.965039,-0.002556,-0.261919,-2.434877,1.111358,-0.036333,0.000074,-0.016268,-0.000021,-0.999868,-0.091792,1.177500,-2.274124
69,0.575000,-0.009766,0.965038,-0.002579,-0.261914,-2.434799,1.111378,-0.036337,0.000184,-0.016325,-0.000044,-0.999867,-0.091794,1.177502,-2.274134
70,0.583333,-0.009731,0.965032,-0.002504,-0.261941,-2.434818,1.111375,-0.036379,0.000140,-0.016303,-0.000049,-0.999867,-0.091792,1.177505,-2.274133
71,0.591667,-0.009651,0.965046,-0.002549,-0.261889,-2.434853,1.111343,-0.036334,0.000127,-0.016344,-0.000003,-0.999866,-0.091798,1.177487,-2.274166
